q1,q2,q3,q4,q5,res
1,1,3,3,7,"asm"
1,2,1,1,7,"cpp"
4,2,1,1,8,"python"
2,4,4,1,4,"java"
3,3,1,4,1,"python"
2,2,4,3,1,"ts"
2,2,1,2,8,"cpp"
4,4,4,1,2,"kotlin"
3,1,1,3,3,"cpp"
4,1,4,1,1,"php"
1,1,4,1,1,"ruby"
3,1,4,4,2,"kotlin"
2,2,1,1,2,"java"
4,3,3,2,3,"cs"
4,2,4,1,4,"cs"
2,1,4,3,6,"vb"
2,4,4,1,7,"cs"
3,1,1,4,8,"python"
4,2,1,3,1,"java"
2,1,1,3,6,"vb"
1,1,3,3,2,"cpp"
2,4,4,1,2,"kotlin"
2,2,4,3,5,"swift"
2,4,3,1,1,"go"
3,2,1,1,1,"js"
3,2,1,4,3,"python"
1,1,4,3,1,"java"
4,2,3,4,1,"js"
3,4,4,2,1,"js"
1,1,1,2,4,"cpp"
4,1,1,2,8,"cpp"
2,4,3,4,8,"python"
2,2,1,2,4,"python"
2,1,4,1,1,"php"
2,1,4,1,1,"go"
3,2,1,4,3,"cs"
1,1,3,1,3,"cpp"
2,1,4,3,1,"ts"
1,2,1,1,8,"cs"
4,2,4,2,8,"java"
4,4,4,1,4,"cs"
1,1,4,1,1,"ruby"
4,4,4,1,2,"kotlin"
2,2,1,4,2,"kotlin"
3,1,3,2,5,"cpp"
1,3,1,1,8,"python"
2,1,3,1,6,"vb"
2,2,1,4,6,"cs"
3,3,1,3,1,"js"
4,4,2,4,8,"python"
2,2,1,1,8,"python"
